N,d
46,0.16
43,0.04
55,0.74
42,0.41
23,0.5
30,0.76
19,0.5
19,0.87
134,0.34
41,0.26
280,0.51
293,0.1
208,0.25
251,-0.27
224,-0.09
197,-0.06
266,-0.02
266,0.04
238,0.12
238,0.1
206,0.08
205,0.14
266,-0.13
234,-0.15
208,0
40,0.2
40,0.13
