N,d
32,0.09
38,-0.03
14,-0.1
26,-0.45
231,0
231,0.04
231,-0.18
19,0
9,-1.09
27,-0.43
58,-0.94
60,-0.66
70,-0.37
70,-0.19
716,-0.02
716,0.04
4066,-0.29
3289,0.02
2817,0.01
2391,0
1955,0.04
1548,0.03
1220,0.04
942,0.06
670,0.13
54,-0.35
65,0.66
14,-0.43
30,-0.19
30,-0.25
